Depto;Munic;Sexo;Tipo_Actor;Tipo_Comunidad;Nombre_Comunidad;Componente;#Fam. Pago Parcial;$Vlr Pago Parcial;#Fam. Pago Total;$Vlr Pago Total;#Fam. Atendidas;$Pagado
ANTIOQUIA;BRICEÑO;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;;;270;3240000000;270;3240000000
ANTIOQUIA;BRICEÑO;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;37;61890593,96;228;412308920,3;265;474199514,2
ANTIOQUIA;BRICEÑO;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;237;492207377,4;34;122988212,7;271;615195590,1
ANTIOQUIA;BRICEÑO;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;46;351393223,3;197;1782898330;243;2134291553
ANTIOQUIA;BRICEÑO;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;196;1607565225;55;551689573;251;2159254798
ANTIOQUIA;BRICEÑO;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;BRICEÑO;FEMENINO;RECOLECTOR;NO APLICA;NO APLICA;06 - Recolector;55;533000000;74;1098000000;129;1631000000
ANTIOQUIA;BRICEÑO;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;47;316000000;1075;12900000000;1122;13216000000
ANTIOQUIA;BRICEÑO;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;246;406471086,5;792;1426972457;1038;1833443544
ANTIOQUIA;BRICEÑO;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;889;1837066518;230;773916556,9;1119;2610983075
ANTIOQUIA;BRICEÑO;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;151;1096526690;819;7416707632;970;8513234322
ANTIOQUIA;BRICEÑO;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;772;6564398008;215;2163414363;987;8727812371
ANTIOQUIA;BRICEÑO;MASCULINO;CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;BRICEÑO;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;4;38000000;443;5316000000;447;5354000000
ANTIOQUIA;BRICEÑO;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;90;142049713,2;337;607401234,6;427;749450947,8
ANTIOQUIA;BRICEÑO;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;337;678992499,3;110;373150090,4;447;1052142590
ANTIOQUIA;BRICEÑO;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;79;610116541;316;2853924582;395;3464041123
ANTIOQUIA;BRICEÑO;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;257;1987548189;146;1467426158;403;3454974347
ANTIOQUIA;BRICEÑO;MASCULINO;NO CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;BRICEÑO;MASCULINO;RECOLECTOR;NO APLICA;NO APLICA;06 - Recolector;128;1090000000;163;2355000000;291;3445000000
ANTIOQUIA;BRICEÑO;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;;;5;60000000;5;60000000
ANTIOQUIA;BRICEÑO;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;3;5367220,237;2;3600000;5;8967220,237
ANTIOQUIA;BRICEÑO;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;5;8374764,633;;;5;8374764,633
ANTIOQUIA;BRICEÑO;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;3;23234014;2;18000000;5;41234014
ANTIOQUIA;BRICEÑO;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;4;24999795,7;;;4;24999795,7
ANTIOQUIA;BRICEÑO;NO DEFINIDO;CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;BRICEÑO;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;;;3;36000000;3;36000000
ANTIOQUIA;BRICEÑO;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;;;3;5406117,759;3;5406117,759
ANTIOQUIA;BRICEÑO;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;4;6356398,856;;;4;6356398,856
ANTIOQUIA;BRICEÑO;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;1;8996700;1;9000000;2;17996700
ANTIOQUIA;BRICEÑO;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;1;2000000;1;10000000;2;12000000
ANTIOQUIA;BRICEÑO;NO DEFINIDO;NO CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;BRICEÑO;NO DEFINIDO;RECOLECTOR;NO APLICA;NO APLICA;06 - Recolector;1;2000000;;;1;2000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;01 - Asistencia Alimentaria Inmediata;;;4;48000000;4;48000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;02 - Asistencia y Seguridad Alimentaria;1;1798837,38;3;5430341,049;4;7229178,429
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;03 - Asistencia Tecnica Integral;4;7362449,476;;;4;7362449,476
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;04 - Proyectos Productivos Ciclo Corto;3;26994400;1;9000000;4;35994400
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;05 - Proyectos Productivos Ciclo Largo;3;15000000;1;10000000;4;25000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;SAN LORENZO INDIGENA ZENU;01 - Asistencia Alimentaria Inmediata;;;1;12000000;1;12000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;SAN LORENZO INDIGENA ZENU;02 - Asistencia y Seguridad Alimentaria;;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;SAN LORENZO INDIGENA ZENU;03 - Asistencia Tecnica Integral;1;1060939,037;;;1;1060939,037
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;SAN LORENZO INDIGENA ZENU;04 - Proyectos Productivos Ciclo Corto;;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;SAN LORENZO INDIGENA ZENU;05 - Proyectos Productivos Ciclo Largo;;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;INDIGENAS;SAN LORENZO INDIGENA ZENU;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;12;62000000;270;3240000000;282;3302000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;59;98475015,44;177;320151318,8;236;418626334,2
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;297;459832901,1;;;297;459832901,1
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;104;698507384,9;110;1032201402;214;1730708787
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;215;1207700962;22;220000000;237;1427700962
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;ALTOS DEL TIGRE;01 - Asistencia Alimentaria Inmediata;;;3;36000000;3;36000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;ALTOS DEL TIGRE;02 - Asistencia y Seguridad Alimentaria;1;1797378,22;2;3620576,84;3;5417955,059
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;ALTOS DEL TIGRE;03 - Asistencia Tecnica Integral;3;5521837,107;;;3;5521837,107
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;ALTOS DEL TIGRE;04 - Proyectos Productivos Ciclo Corto;1;8999500;2;18000000;3;26999500
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;ALTOS DEL TIGRE;05 - Proyectos Productivos Ciclo Largo;3;24037100;;;3;24037100
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;ALTOS DEL TIGRE;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;PUERTO BELGICA;01 - Asistencia Alimentaria Inmediata;;;3;36000000;3;36000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;PUERTO BELGICA;02 - Asistencia y Seguridad Alimentaria;;;2;3619325,36;2;3619325,36
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;PUERTO BELGICA;03 - Asistencia Tecnica Integral;3;5270169,473;;;3;5270169,473
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;PUERTO BELGICA;04 - Proyectos Productivos Ciclo Corto;2;17991000;1;9000000;3;26991000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;PUERTO BELGICA;05 - Proyectos Productivos Ciclo Largo;3;19920113;;;3;19920113
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA LEGALIZADO;PUERTO BELGICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CABILDO LOCAL INDÍGENA SENÚ JOSÉ DE LOS SANTOS;01 - Asistencia Alimentaria Inmediata;;;2;24000000;2;24000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CABILDO LOCAL INDÍGENA SENÚ JOSÉ DE LOS SANTOS;02 - Asistencia y Seguridad Alimentaria;;;2;3619786,22;2;3619786,22
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CABILDO LOCAL INDÍGENA SENÚ JOSÉ DE LOS SANTOS;03 - Asistencia Tecnica Integral;2;3681224,738;;;2;3681224,738
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CABILDO LOCAL INDÍGENA SENÚ JOSÉ DE LOS SANTOS;04 - Proyectos Productivos Ciclo Corto;;;2;24993813;2;24993813
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CABILDO LOCAL INDÍGENA SENÚ JOSÉ DE LOS SANTOS;05 - Proyectos Productivos Ciclo Largo;2;14988773;;;2;14988773
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CABILDO LOCAL INDÍGENA SENÚ JOSÉ DE LOS SANTOS;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;01 - Asistencia Alimentaria Inmediata;;;10;120000000;10;120000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;02 - Asistencia y Seguridad Alimentaria;4;7188064,119;6;10830161,96;10;18018226,08
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;03 - Asistencia Tecnica Integral;10;17955414,32;;;10;17955414,32
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;04 - Proyectos Productivos Ciclo Corto;5;36178222;5;63938126;10;100116348
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;05 - Proyectos Productivos Ciclo Largo;8;40000000;2;20000000;10;60000000
ANTIOQUIA;CÁCERES;FEMENINO;CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;01 - Asistencia Alimentaria Inmediata;;;90;1080000000;90;1080000000
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;02 - Asistencia y Seguridad Alimentaria;27;47358911,66;57;103148962,5;84;150507874,2
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;03 - Asistencia Tecnica Integral;96;153900170,7;;;96;153900170,7
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;04 - Proyectos Productivos Ciclo Corto;37;243858828;39;373017063;76;616875891
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;05 - Proyectos Productivos Ciclo Largo;78;396844693,4;7;70000000;85;466844693,4
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;NO APLICA;NO APLICA;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;01 - Asistencia Alimentaria Inmediata;;;2;24000000;2;24000000
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;02 - Asistencia y Seguridad Alimentaria;1;1798463,13;1;1810608,36;2;3609071,49
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;03 - Asistencia Tecnica Integral;2;3681224,738;;;2;3681224,738
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;04 - Proyectos Productivos Ciclo Corto;1;8994000;;;1;8994000
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;05 - Proyectos Productivos Ciclo Largo;2;10000000;;;2;10000000
ANTIOQUIA;CÁCERES;FEMENINO;NO CULTIVADOR;RESGUARDO INDIGENA SOLICITADO;CAMPANARIO - LEONARDO JOSE;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;FEMENINO;RECOLECTOR;NO APLICA;NO APLICA;06 - Recolector;5;26535770,24;34;417108094;39;443643864,3
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;ALTO EL TIGRE INDIGENA ZENU;01 - Asistencia Alimentaria Inmediata;;;2;24000000;2;24000000
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;ALTO EL TIGRE INDIGENA ZENU;02 - Asistencia y Seguridad Alimentaria;;;2;3664325,01;2;3664325,01
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;ALTO EL TIGRE INDIGENA ZENU;03 - Asistencia Tecnica Integral;2;2121878,075;;;2;2121878,075
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;ALTO EL TIGRE INDIGENA ZENU;04 - Proyectos Productivos Ciclo Corto;;;2;18000000;2;18000000
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;ALTO EL TIGRE INDIGENA ZENU;05 - Proyectos Productivos Ciclo Largo;1;8913009,31;1;10000000;2;18913009,31
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;ALTO EL TIGRE INDIGENA ZENU;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;01 - Asistencia Alimentaria Inmediata;;;21;252000000;21;252000000
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;02 - Asistencia y Seguridad Alimentaria;3;5370554,839;16;28963786,73;19;34334341,57
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;03 - Asistencia Tecnica Integral;21;37093513,09;;;21;37093513,09
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;04 - Proyectos Productivos Ciclo Corto;12;107964700;6;55399000;18;163363700
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;05 - Proyectos Productivos Ciclo Largo;15;73114043;4;40000000;19;113114043
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CACUCHO ZENU;14 - Asistencia Alimentaria Inmediata (Adic);;;;;;0
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CAMPANARIO ZENU;01 - Asistencia Alimentaria Inmediata;;;1;12000000;1;12000000
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CAMPANARIO ZENU;02 - Asistencia y Seguridad Alimentaria;;;1;1809155,72;1;1809155,72
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CAMPANARIO ZENU;03 - Asistencia Tecnica Integral;1;1060939,037;;;1;1060939,037
ANTIOQUIA;CÁCERES;MASCULINO;CULTIVADOR;INDIGENAS;CAMPANARIO ZENU;04 - Proyectos Productivos Ciclo Corto;;;1;9000000;1;9000000
